text,occurrence_count
main speaker,17.0
education campaigns,17.0
cocoa cultivation,17.0
teen users,17.0
first countries,17.0
one breath,17.0
cement products,17.0
gas production,17.0
top two teams,17.0
multiple sclerosis,17.0
autographs,17.0
nationwide art competition,17.0
silver certification,17.0
fixed deposits,17.0
local bourse,17.0
like-minded people,17.0
amateur filmmaker,17.0
aflatoxins,17.0
poor drainage,17.0
live radio,17.0
five districts,17.0
whole region,17.0
martial arts,17.0
zoos,17.0
top floor,17.0
multiple gunshot wounds,17.0
community volunteers,17.0
opening minutes,17.0
ladies category,17.0
cane sugar,17.0
rare earth minerals,17.0
two other individuals,17.0
first floor,17.0
local sources,17.0
single-entry visas,17.0
life-transforming surgery,17.0
strong bones,17.0
underprivileged communities,17.0
public financial system,17.0
tax fraud,17.0
dysentery,17.0
innocent person,17.0
human rights advocates,17.0
portable water,17.0
dead men,17.0
aman,17.0
brent,17.0
cash withdrawals,17.0
even members,17.0
business advisory services,17.0
arrival testing,17.0
communication firm,17.0
upper house,17.0
western city,17.0
art exhibitions,17.0
brief ceremony,16.0
forex market,16.0
media personality,16.0
second seed,16.0
various security agencies,16.0
rescue mission,16.0
criminal complaint,16.0
plumbers,16.0
four-year-old boy,16.0
short end,16.0
underground cables,16.0
beach soccer,16.0
armed illegal miners,16.0
prophecy desk,16.0
best-performing currency,16.0
high places,16.0
four sureties,16.0
tofu,16.0
border personnel,16.0
chemical fertilizers,16.0
just-ended polls,16.0
well-paying jobs,16.0
seven players,16.0
border officials,16.0
one commenter,16.0
antoa,16.0
state legislatures,16.0
app developers,16.0
jaundice,16.0
feces,16.0
state awards,16.0
suspected cocaine,16.0
bush fires,16.0
galamsey drones,16.0
jute bags,16.0
best gift,16.0
drop zone,16.0
international creditors,16.0
proper records,16.0
lithium-ion batteries,16.0
transit point,16.0
naked eye,16.0
public protests,16.0
treasury bonds,16.0
following persons,16.0
seabed,16.0
repeat offenders,16.0
under-served communities,16.0
lower-income countries,16.0
tourney,16.0
corona virus,16.0
younger voters,16.0
critical platform,16.0
normal people,16.0
first company,16.0
royal regalia,16.0
global icons,16.0
abbey,16.0
noodles,16.0
agricultural space,16.0
silk,16.0
multiple partners,16.0
political operatives,16.0
good leaders,16.0
local students,16.0
three square meals,16.0
muscle aches,16.0
large sections,16.0
fashion shows,16.0
fine lines,16.0
crack cocaine,16.0
lean proteins,16.0
female counterparts,16.0
cockpit voice recorders,16.0
previous auction,16.0
one stone,16.0
solo artist,16.0
semifinal stage,16.0
first instalment,16.0
rebates,16.0
selected personalities,16.0
sports fraternity,16.0
thrilling tie-breaker,16.0
passerby,16.0
low-income communities,16.0
emergency treatment,16.0
di victims,16.0
bygones,16.0
water contamination,16.0
motorcyclists,16.0
ultrasound scans,16.0
state prosecutors,16.0
political party manifestos,16.0
pump-action guns,16.0
 transformer,16.0
cimg,15.0
multiple locations,15.0
city authorities,15.0
coronavirus disease,15.0
extreme weather,15.0
first-half,15.0
first bank,15.0
recent floods,15.0
gender minister,15.0
floodlights,15.0
large-scale farming,15.0
outside court,15.0
penile cancer,15.0
four excavators,15.0
unvaccinated people,15.0
telecom services,15.0
independent media,15.0
domestic businesses,15.0
kente production,15.0
temperature checks,15.0
laboratory equipment,15.0
clean air projects,15.0
three-year-old girl,15.0
disability community,15.0
cleaner air,15.0
liver damage,15.0
politically exposed individuals,15.0
international company,15.0
upper chamber,15.0
sustainable materials,15.0
pop music,15.0
peaceful protesters,15.0
periodontitis,15.0
violent scuffle,15.0
sea-level rise,15.0
key market,15.0
first preliminary round,15.0
business travellers,15.0
statistical data,15.0
pedestrian knockdowns,15.0
different industries,15.0
investing public,15.0
fintech startups,15.0
child birth,15.0
crime officer,15.0
largest gathering,15.0
packets,15.0
one driver,15.0
different platforms,15.0
toilet cubicles,15.0
infected animals,15.0
all-expenses-paid trip,15.0
local bond market,15.0
respiratory droplets,15.0
online orders,15.0
private tertiary institutions,15.0
short periods,15.0
two dialysis sessions,15.0
healthy food,15.0
parliament fire,15.0
longer periods,15.0
ensuing years,15.0
menswear,15.0
imported fossil fuels,15.0
di hospital,15.0
di city,15.0
preferred communication platform,15.0
boxing world,15.0
one breast,15.0
healthy body,15.0
dark web,15.0
sustainable cities,15.0
green technology,15.0
prepared candidate,15.0
college campuses,15.0
special vehicle,15.0
sepsis,15.0
one building,15.0
springs,15.0
peaceful demonstrations,15.0
heavy weapons,15.0
amphibians,15.0
new clients,15.0
black communities,15.0
elephantiasis,15.0
shell companies,15.0
hair dryers,15.0
divorcee,15.0
bourbon,15.0
iconic bottle,15.0
fine print,15.0
central midfield,15.0
unsuspecting public,15.0
halfway line,15.0
desserts,15.0
original sound,15.0
perfectionist,15.0
black tea,15.0
oil market,15.0
government property,15.0
alternative energy sources,15.0
main body,15.0
university student,15.0
stretchers,15.0
specific brands,15.0
respiratory illnesses,15.0
elephant family,15.0
input dealers,15.0
one female,15.0
non-life-threatening injuries,15.0
sinners,15.0
broad audience,15.0
top young rappers,15.0
respected figure,15.0
selenium,15.0
new parliamentary chamber,15.0
business meetings,15.0
mixed martial arts,15.0
day schools,15.0
rural schools,15.0
timber industry,14.0
upper part,14.0
new envoys,14.0
one-eighth stage,14.0
tourism ministry,14.0
federal court,14.0
two journalists,14.0
five-member panel,14.0
flight data,14.0
right places,14.0
reliable power supply,14.0
law lecturer,14.0
catering services,14.0
successful women,14.0
jama night,14.0
